月份,SHFE铜主连成交量,SHFE铜主连持仓量,SHFE铜主连收盘价,SHFE铜主连成交量_变化率,SHFE铜主连持仓量_变化率,SHFE铝主连成交量,SHFE铝主连持仓量,SHFE铝主连收盘价,SHFE铝主连成交量_变化率,SHFE铝主连持仓量_变化率
2021-04-01,3490168,162470,71890.0,-21.056373214834622,14.350264989688988,5523083,274732,18990.0,-23.59959596786777,36.127916598536316
2021-05-01,3577631,140188,73950.0,2.5059825200391517,-13.71453191358405,6878150,210172,18825.0,24.534612280858358,-23.499264737999216
2021-06-01,2725660,121002,68390.0,-23.813830995985896,-13.685907495648697,5190810,212234,18800.0,-24.531887208042857,0.9811011933083424
2021-07-01,2530876,136097,71820.0,-7.146305848858625,12.47500041321632,4928471,288737,20085.0,-5.053912587823484,36.04653354316463
2021-08-01,2513800,132113,70100.0,-0.6747070974634894,-2.927323893987377,5672924,337296,21385.0,15.105151273082473,16.8177268586984
2021-09-01,2277547,119551,67950.0,-9.398241705784072,-9.508526791458827,8129174,242075,22565.0,43.29777730144102,-28.230693515487882
2021-10-01,2763901,150947,70540.0,21.35429038346959,26.26159546971585,9871374,223012,19870.0,21.43145170714762,-7.87483218010947
2021-11-01,2774790,155294,69450.0,0.3939721429964349,2.879818744327478,9132070,203468,18905.0,-7.4893728066629865,-8.763653973777197
2021-12-01,2087674,133670,70380.0,-24.76281087938186,-13.924556003451515,6843269,207785,20380.0,-25.063331752822748,2.1217095562938715
2022-01-01,1654739,129300,70290.0,-20.73767264429216,-3.2692451559811486,5266441,203307,21950.0,-23.042028597735964,-2.1551122554563595
2022-02-01,1312205,133553,70990.0,-20.700182929150756,3.2892498066511955,4788532,219170,22855.0,-9.07461034881052,7.802485895714373
2022-03-01,1990869,155903,73320.0,51.71935787472233,16.734929204136193,7056508,199522,22730.0,47.36265728202296,-8.964730574439928
2022-04-01,1274463,149754,73600.0,-35.984587634846896,-3.944119099696608,4543007,193581,20890.0,-35.6196152544573,-2.9776165034432256
2022-05-01,1398341,140486,72120.0,9.720015410412074,-6.188816325440394,4607574,182704,20795.0,1.4212392805029728,-5.618836559373075
2022-06-01,2019260,139765,63850.0,44.40397585424443,-0.5132183989863703,5521671,181861,19060.0,19.83900855417624,-0.46140204921621963
2022-07-01,3548890,157641,60100.0,75.75200816140566,12.790040424999116,6062556,180533,18750.0,9.795675982868236,-0.7302280312986298
2022-08-01,3074607,159941,62060.0,-13.364263192153036,1.4590112978222658,5594388,165690,18410.0,-7.72228743124187,-8.221765549788685
2022-09-01,2443336,142520,61320.0,-20.531762270755248,-10.892141477169703,5021861,160841,18270.0,-10.233952310780015,-2.9265495805419706
2022-10-01,1640114,190869,62060.0,-32.87398867777498,33.92436149312377,3357840,192400,17535.0,-33.13554477115157,19.62124085276764
2022-11-01,2479134,147320,64680.0,51.15620011779669,-22.81617234857415,4917471,199944,18795.0,46.447448359659774,3.920997920997915
2022-12-01,1448656,99641,66260.0,-41.56604685345769,-32.36424110779256,3645253,136749,18700.0,-25.871387955312798,-31.606349777937826
2023-01-01,1223277,175820,69240.0,-15.557799781314541,76.45346794994028,2604111,195165,18925.0,-28.56158406563276,42.71767983678125
2023-02-01,1454762,150661,69050.0,18.923350966297914,-14.309521101126155,2966249,215358,18460.0,13.906396463130788,10.346629774805937
2023-03-01,1957313,172624,69200.0,34.54523832764398,14.577760667989725,3624694,219903,18715.0,22.197900445984132,2.110439361435379
2023-04-01,1580727,176108,67410.0,-19.23994782643348,2.018259338214845,3285711,212237,18470.0,-9.352044613972932,-3.486082500011367
2023-05-01,2448234,196697,64920.0,54.880254465192294,11.69112135734891,4576030,248400,18015.0,39.270617531487105,17.038970584770794
2023-06-01,1741287,184924,67300.0,-28.875793735402745,-5.985348022593129,4032599,229908,18010.0,-11.87559959178589,-7.444444444444443
2023-07-01,1558707,197823,69530.0,-10.485347906462295,6.975297960243121,3730658,235617,18380.0,-7.487503716585753,2.4831671799154353
2023-08-01,1844189,159215,69430.0,18.31530877836567,-19.5164364103264,4031283,288549,18980.0,8.058229942278272,22.465272030456205
2023-09-01,1417349,152183,67240.0,-23.145133172359234,-4.416669283673025,4077443,262674,19445.0,1.145044890175173,-8.967281120364301
2023-10-01,1257230,157289,67310.0,-11.297076443416543,3.3551710769271104,2943818,209137,19215.0,-27.80235063984954,-20.381537571286078
2023-11-01,1340509,162935,68220.0,6.624006744986999,3.5895707900743146,3207682,176406,18600.0,8.963325857780614,-15.650506605717784
2023-12-01,1295430,144501,68920.0,-3.3628271052264513,-11.313714057753089,2887450,210510,19505.0,-9.98328387913765,19.332675759327913
2024-01-01,1120127,153178,69350.0,-13.532417807214593,6.00480273492916,2930159,171096,19010.0,1.4791251796567817,-18.723101040330626
2024-02-01,767227,150856,68990.0,-31.505356089086323,-1.5158834819621658,1900436,200350,18925.0,-35.14222265754179,17.098003460045817
2024-03-01,2059355,178865,72530.0,168.41534513253572,18.566712626610805,2913370,260121,19710.0,53.300084822640706,29.833291739455948
2024-04-01,3092884,198340,82180.0,50.18702457808391,10.888099963659737,5106829,212955,20575.0,75.28940711272512,-18.13233072300967
2024-05-01,3189787,191999,82500.0,3.133095195293456,-3.197035393768277,4857119,225542,21535.0,-4.889727069381022,5.910638397783563
2024-06-01,2148850,195709,78370.0,-32.633432890660096,1.932301730738173,3148872,191680,20320.0,-35.16996392305809,-15.013611655478798
2024-07-01,2483488,182993,74470.0,15.572887823719661,-6.497401754645926,3471476,206742,19135.0,10.245065534578735,7.857888146911529
2024-08-01,2545078,168270,74220.0,2.4799797703874527,-8.04566294885597,3299775,183723,19850.0,-4.9460517658771135,-11.134167222915515
2024-09-01,2068209,170549,78830.0,-18.736911010193,1.3543709514470814,2846201,163427,20460.0,-13.745603866930322,-11.047065419136414
2024-10-01,1553108,158178,76540.0,-24.905655086115573,-7.253633853027575,2811125,198152,20710.0,-1.2323795824680017,21.24801899318962
2024-11-01,1803746,161189,73830.0,16.13783458716329,1.9035516949259756,3612540,170438,20390.0,28.50869313886788,-13.98623279098874
2024-12-01,1296192,153745,73770.0,-28.138884299674128,-4.618181141393018,2687049,159521,19780.0,-25.618844358816784,-6.405261737405976
2025-01-01,1103418,153002,75540.0,-14.872333728336539,-0.48326774854466903,2299746,162606,20240.0,-14.413693237451197,1.9339146570044097
2025-02-01,1314208,163990,76840.0,19.10336789865672,7.181605469209562,2218385,197846,20640.0,-3.537825481596668,21.672017022742086
2025-03-01,2287385,203722,79950.0,74.05045472254011,24.228306604061235,3348911,201164,20480.0,50.96166806032316,1.6770619572799017
